laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Memory_Flash,Memory_HDD,Memory_Hybrid,Memory_SSD,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
1,13.3,8,1.37,1339.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2560,1600,2.3,128000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2,13.3,8,1.34,898.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1440,900,1.8,128000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3,15.6,8,1.86,575.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.5,256000.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
4,15.4,16,1.83,2537.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2880,1800,2.7,512000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
5,13.3,8,1.37,1803.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2560,1600,3.1,256000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,15.6,4,2.1,400.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,3.0,500000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
7,15.4,16,2.04,2139.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2880,1800,2.2,256000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
8,13.3,8,1.34,1158.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1440,900,1.8,256000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
9,14.0,16,1.3,1495.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.8,512000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
10,14.0,8,1.6,770.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.6,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
11,15.6,4,1.86,393.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.5,500000.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
12,15.6,4,1.86,344.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.0,500000.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
13,15.4,16,1.83,2439.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2880,1800,2.8,256000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
14,15.6,4,2.2,498.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.0,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
15,12.0,8,0.92,1262.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2304,1440,1.2,256000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
16,13.3,8,1.37,1518.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2560,1600,2.3,256000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
17,15.6,8,2.2,745.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.7,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18,15.4,16,1.83,2858.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2880,1800,2.9,512000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
19,15.6,8,2.2,499.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,2.4,1000000.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
20,13.3,8,1.22,979.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.6,128000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
21,11.6,2,0.98,191.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1366,768,1.44,32000.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
22,15.6,8,2.5,999.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920,1080,2.5,128000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
23,15.6,4,1.86,258.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,1.5,500000.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
24,13.3,8,1.62,819.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1920,1080,1.6,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
25,15.6,8,1.91,659.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.8,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
26,15.6,4,2.3,418.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1366,768,2.0,1000000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
27,13.3,8,1.35,1099.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1440,900,1.6,128000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
28,15.6,8,2.2,800.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
29,15.6,8,1.88,1298.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1920,1080,1.9,256000.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
30,17.3,8,2.5,896.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.6,1000000.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,15.6,4,1.89,244.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1920,1080,1.44,64000.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
